Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2010,Malignant Neoplasms (Cancer),F,White Non-Hispanic,3438.0,240.4,163.0
2008,Cerebrovascular Disease (Stroke),M,White Non-Hispanic,245.0,18.3,15.4
2012,Diabetes Mellitus,M,Black Non-Hispanic,308.0,36.0,42.9
2008,Other Causes,M,Hispanic,187.0,16.9,35.5
2008,Diseases of Heart,M,Black Non-Hispanic,2077.0,244.6,330.2
2013,Cerebrovascular Disease (Stroke),F,Other Race/ Ethnicity,7.0,,
2013,Other Causes,M,Black Non-Hispanic,184.0,21.4,26.1
2009,HIV (Human Immunodeficiency Virus Disease),M,Hispanic,196.0,17.5,20.0
2009,Other Causes,M,White Non-Hispanic,1818.0,135.1,118.5
2007,Diabetes Mellitus,M,Not Stated/Unknown,9.0,,
2010,Diabetes Mellitus,M,Asian and Pacific Islander,64.0,12.3,15.5
2010,Cerebrovascular Disease (Stroke),M,Hispanic,140.0,12.3,21.4
2007,Essential Hypertension and Renal Diseases,F,Hispanic,78.0,6.7,8.9
2007,Other Causes,F,White Non-Hispanic,162.0,11.3,7.3
2008,Other Causes,F,Hispanic,68.0,5.8,6.6
2010,Other Causes,M,White Non-Hispanic,614.0,45.8,37.6
2011,Tuberculosis,F,Not Stated/Unknown,,,
2012,Congenital Malformations,F,Not Stated/Unknown,8.0,,
2007,Diseases of Heart,M,Not Stated/Unknown,86.0,,
2013,Other Causes,M,White Non-Hispanic,2293.0,170.3,143.3
2008,Essential Hypertension and Renal Diseases,F,Asian and Pacific Islander,32.0,6.0,8.0
2014,Other Causes,M,White Non-Hispanic,2275.0,169.4,141.3
2007,Assault (Homicide),F,Other Race/ Ethnicity,,,
2012,Cerebrovascular Disease (Stroke),M,Hispanic,129.0,11.0,17.2
2013,Essential Hypertension and Renal Diseases,F,Hispanic,103.0,8.3,9.3
2012,Other Causes,F,Hispanic,209.0,16.9,19.6
2009,Other Causes,F,Not Stated/Unknown,,,
2009,Other Causes,F,Not Stated/Unknown,26.0,,
2011,Diseases of Heart,M,Asian and Pacific Islander,452.0,85.5,117.8
2013,Malignant Neoplasms (Cancer),M,White Non-Hispanic,3132.0,232.7,194.5
2011,Malignant Neoplasms (Cancer),M,Other Race/ Ethnicity,36.0,,
2008,Other Causes,M,Other Race/ Ethnicity,,,
2014,Other Causes,M,Asian and Pacific Islander,95.0,16.6,22.9
2013,Intentional Self-Harm (Suicide),F,Other Race/ Ethnicity,5.0,,
2014,Other Causes,F,Black Non-Hispanic,123.0,11.7,9.2
2011,HIV (Human Immunodeficiency Virus Disease),M,Hispanic,162.0,14.1,16.2
2008,Mental and Behavioral Disorders,F,White Non-Hispanic,86.0,6.0,5.5
2009,Other Causes,F,Asian and Pacific Islander,37.0,6.7,8.0
2010,Diseases of Heart,M,White Non-Hispanic,4495.0,335.1,277.0
2008,Nephritis and Related Diseases,F,Black Non-Hispanic,71.0,6.8,6.3
2013,Assault (Homicide),M,Black Non-Hispanic,174.0,20.3,20.6
2007,Malignant Neoplasms (Cancer),F,Not Stated/Unknown,51.0,,
2008,Chronic Liver Disease and Cirrhosis,F,Hispanic,63.0,5.3,6.2
2014,Cerebrovascular Disease (Stroke),M,Other Race/ Ethnicity,7.0,,
2009,Congenital Malformations,F,Other Race/ Ethnicity,,,
2007,Other Causes,M,White Non-Hispanic,297.0,22.2,19.8
2010,Diabetes Mellitus,F,Hispanic,219.0,18.0,21.5
2010,Cerebrovascular Disease (Stroke),F,Not Stated/Unknown,,,
2007,HIV (Human Immunodeficiency Virus Disease),F,Black Non-Hispanic,248.0,23.6,22.1
2014,Cerebrovascular Disease (Stroke),F,White Non-Hispanic,418.0,29.5,15.6
2013,Other Causes,F,White Non-Hispanic,622.0,43.7,22.1
2009,Other Causes,M,Not Stated/Unknown,8.0,,
2013,Other Causes,F,Other Race/ Ethnicity,,,
2007,Intentional Self-Harm (Suicide),F,Asian and Pacific Islander,22.0,4.3,3.9
2010,Other Causes,M,Black Non-Hispanic,1230.0,144.5,166.2
2011,Cerebrovascular Disease (Stroke),F,Other Race/ Ethnicity,5.0,,
2007,Other Causes,M,Black Non-Hispanic,1163.0,136.5,162.4
2011,Diabetes Mellitus,M,Black Non-Hispanic,307.0,36.0,43.9
2012,Other Causes,M,White Non-Hispanic,352.0,26.3,21.8
2012,HIV (Human Immunodeficiency Virus Disease),M,Not Stated/Unknown,9.0,,
2010,Other Causes,M,Black Non-Hispanic,201.0,23.6,31.8
2012,Diabetes Mellitus,M,Other Race/ Ethnicity,8.0,,
2008,Cerebrovascular Disease (Stroke),F,Hispanic,152.0,12.9,16.4
2013,Diseases of Heart,M,Other Race/ Ethnicity,72.0,,
2007,Other Causes,F,Black Non-Hispanic,87.0,8.3,8.1
2011,Other Causes,M,White Non-Hispanic,2165.0,162.3,139.5
2012,Other Causes,M,Not Stated/Unknown,11.0,,
2011,Malignant Neoplasms (Cancer),F,Hispanic,1085.0,88.6,99.6
2009,Other Causes,F,Hispanic,56.0,4.7,5.3
2007,Essential Hypertension and Renal Diseases,M,White Non-Hispanic,123.0,9.2,7.6
2011,Other Causes,M,Black Non-Hispanic,1337.0,156.7,181.7
2007,HIV (Human Immunodeficiency Virus Disease),F,Not Stated/Unknown,5.0,,
2008,Assault (Homicide),M,Other Race/ Ethnicity,5.0,,
2008,Diseases of Heart,M,White Non-Hispanic,5503.0,410.0,342.3
2014,Mental and Behavioral Disorders,M,Other Race/ Ethnicity,12.0,,
2007,Other Causes,M,Asian and Pacific Islander,53.0,11.0,13.0
2010,Diabetes Mellitus,M,Other Race/ Ethnicity,5.0,,
2014,Essential Hypertension and Renal Diseases,M,Not Stated/Unknown,9.0,,
2012,Other Causes,M,Other Race/ Ethnicity,,,
2007,Other Causes,F,Black Non-Hispanic,1230.0,116.8,113.4
2009,Other Causes,F,Black Non-Hispanic,1305.0,124.6,117.3
2013,Other Causes,F,Asian and Pacific Islander,35.0,5.8,6.3
2010,Diabetes Mellitus,M,Black Non-Hispanic,279.0,32.8,41.0
2012,Mental and Behavioral Disorders,M,Not Stated/Unknown,7.0,,
2009,Malignant Neoplasms (Cancer),M,Black Non-Hispanic,1557.0,183.4,228.8
2009,Cerebrovascular Disease (Stroke),F,Not Stated/Unknown,5.0,,
2014,Essential Hypertension and Renal Diseases,F,Not Stated/Unknown,,,
2010,Other Causes,M,White Non-Hispanic,2034.0,151.6,130.9
2009,Other Causes,F,White Non-Hispanic,629.0,43.8,23.1
2008,Congenital Malformations,M,Asian and Pacific Islander,14.0,2.8,3.0
2012,HIV (Human Immunodeficiency Virus Disease),M,Black Non-Hispanic,223.0,26.1,25.8
2009,Malignant Neoplasms (Cancer),M,White Non-Hispanic,3236.0,240.5,205.6
2010,Other Causes,M,White Non-Hispanic,271.0,20.2,18.4
2013,Other Causes,M,Not Stated/Unknown,24.0,,
2010,Other Causes,M,Not Stated/Unknown,,,
2010,HIV (Human Immunodeficiency Virus Disease),M,Hispanic,189.0,16.5,18.4
2009,Diseases of Heart,M,Not Stated/Unknown,94.0,,
2012,Other Causes,M,Hispanic,1199.0,102.6,150.5
2010,Diabetes Mellitus,M,Hispanic,187.0,16.4,27.3
2013,Diseases of Heart,F,White Non-Hispanic,4535.0,319.0,160.6
2007,Septicemia,F,Hispanic,49.0,4.2,5.5
2011,Other Causes,M,Hispanic,123.0,10.7,19.2
2014,Other Causes,F,Asian and Pacific Islander,80.0,12.8,14.1
2014,Diseases of Heart,M,Asian and Pacific Islander,554.0,96.5,118.5
2009,Diseases of Heart,F,Hispanic,1349.0,112.7,143.8
2007,Other Causes,M,White Non-Hispanic,530.0,39.6,32.9
2010,Diseases of Heart,M,Asian and Pacific Islander,478.0,91.8,130.0
2012,Other Causes,M,Not Stated/Unknown,11.0,,
2009,Other Causes,M,Black Non-Hispanic,134.0,15.8,16.8
2009,Cerebrovascular Disease (Stroke),M,White Non-Hispanic,227.0,16.9,14.2
2008,Malignant Neoplasms (Cancer),M,Black Non-Hispanic,1464.0,172.4,220.4
2007,Other Causes,M,Other Race/ Ethnicity,7.0,,
2010,Atherosclerosis,F,Not Stated/Unknown,,,
2008,Essential Hypertension and Renal Diseases,F,White Non-Hispanic,151.0,10.5,5.9
2007,HIV (Human Immunodeficiency Virus Disease),M,Not Stated/Unknown,6.0,,
2010,Other Causes,F,Black Non-Hispanic,1326.0,126.5,117.4
2011,HIV (Human Immunodeficiency Virus Disease),F,Hispanic,70.0,5.7,5.7
2011,Mental and Behavioral Disorders,F,White Non-Hispanic,88.0,6.2,6.1
2010,Other Causes,F,Not Stated/Unknown,,,
2008,Other Causes,M,Other Race/ Ethnicity,,,
2009,Chronic Liver Disease and Cirrhosis,M,Not Stated/Unknown,10.0,,
2008,Diseases of Heart,F,Black Non-Hispanic,2725.0,260.1,243.6
2014,Diseases of Heart,M,Other Race/ Ethnicity,63.0,,
2013,Malignant Neoplasms (Cancer),F,Black Non-Hispanic,1784.0,170.8,145.5
2014,Diabetes Mellitus,M,Other Race/ Ethnicity,18.0,,
2009,Malignant Neoplasms (Cancer),M,Not Stated/Unknown,47.0,,
2014,Other Causes,M,Black Non-Hispanic,242.0,28.0,33.9
2014,Other Causes,F,Hispanic,218.0,17.2,18.8
2007,Diabetes Mellitus,F,Black Non-Hispanic,358.0,34.0,32.5
2012,Other Causes,M,Other Race/ Ethnicity,5.0,,
2009,Malignant Neoplasms (Cancer),M,Asian and Pacific Islander,506.0,99.1,127.0
2007,Essential Hypertension and Renal Diseases,F,Asian and Pacific Islander,22.0,4.3,6.3
2014,Other Causes,M,Black Non-Hispanic,1375.0,159.3,177.8
2011,Other Causes,M,Asian and Pacific Islander,61.0,11.5,14.8
2014,Diabetes Mellitus,F,Other Race/ Ethnicity,11.0,,
2010,HIV (Human Immunodeficiency Virus Disease),M,Not Stated/Unknown,8.0,,
2009,Diseases of Heart,M,Black Non-Hispanic,2068.0,243.5,318.9
2014,Other Causes,M,Hispanic,1195.0,100.1,143.3
2010,Other Causes,F,Other Race/ Ethnicity,,,
2007,Other Causes,F,Hispanic,820.0,70.2,85.6
2013,Diabetes Mellitus,M,Not Stated/Unknown,19.0,,
2008,Diabetes Mellitus,F,Not Stated/Unknown,12.0,,
2012,Malignant Neoplasms (Cancer),M,Other Race/ Ethnicity,34.0,,
2011,Diseases of Heart,M,Black Non-Hispanic,1840.0,215.7,268.3
2008,Malignant Neoplasms (Cancer),M,White Non-Hispanic,3361.0,250.4,214.3
2008,Malignant Neoplasms (Cancer),F,Hispanic,1046.0,88.5,104.7
2008,Intentional Self-Harm (Suicide),M,White Non-Hispanic,195.0,14.5,13.1
2010,Cerebrovascular Disease (Stroke),M,Other Race/ Ethnicity,,,
2013,Chronic Liver Disease and Cirrhosis,M,Other Race/ Ethnicity,,,
2012,Diseases of Heart,M,Hispanic,1251.0,107.1,182.5
2010,Other Causes,F,Black Non-Hispanic,88.0,8.4,7.3
2009,HIV (Human Immunodeficiency Virus Disease),F,Not Stated/Unknown,,,
2010,Other Causes,F,Hispanic,156.0,12.8,15.4
2014,Other Causes,M,Other Race/ Ethnicity,8.0,,
2011,Assault (Homicide),M,Black Non-Hispanic,266.0,31.2,31.5
2007,Malignant Neoplasms (Cancer),F,Other Race/ Ethnicity,22.0,,
2010,Cerebrovascular Disease (Stroke),M,Black Non-Hispanic,171.0,20.1,23.9
2009,Diseases of Heart,F,White Non-Hispanic,6297.0,438.3,226.2
2011,Cerebrovascular Disease (Stroke),M,Black Non-Hispanic,200.0,23.4,28.1
2009,Essential Hypertension and Renal Diseases,F,Asian and Pacific Islander,18.0,3.3,4.6
2009,Malignant Neoplasms (Cancer),F,Asian and Pacific Islander,398.0,72.5,83.5
2008,Other Causes,M,Other Race/ Ethnicity,,,
2012,Cerebrovascular Disease (Stroke),F,Black Non-Hispanic,271.0,25.9,22.1
2009,Other Causes,F,Asian and Pacific Islander,83.0,15.1,20.3
2011,Other Causes,F,White Non-Hispanic,696.0,49.1,25.4
2014,Other Causes,F,Not Stated/Unknown,,,
2013,Other Causes,M,Not Stated/Unknown,15.0,,
2009,Other Causes,M,White Non-Hispanic,555.0,41.3,34.3
2012,Diseases of Heart,F,White Non-Hispanic,4719.0,332.7,167.7
2011,Other Causes,M,White Non-Hispanic,646.0,48.4,39.3
2013,Other Causes,M,Other Race/ Ethnicity,8.0,,
2007,Other Causes,M,Not Stated/Unknown,43.0,,
2012,HIV (Human Immunodeficiency Virus Disease),F,Black Non-Hispanic,136.0,13.0,11.6
2009,Essential Hypertension and Renal Diseases,F,Other Race/ Ethnicity,,,
2013,Other Causes,M,White Non-Hispanic,437.0,32.5,26.4
2009,Cerebrovascular Disease (Stroke),F,Black Non-Hispanic,245.0,23.4,21.3
2014,Other Causes,M,Not Stated/Unknown,96.0,,
2009,Essential Hypertension and Renal Diseases,F,Black Non-Hispanic,227.0,21.7,19.6
2009,Other Causes,F,Hispanic,216.0,18.0,22.8
2014,Other Causes,F,White Non-Hispanic,563.0,39.7,20.4
2007,Essential Hypertension and Renal Diseases,F,Not Stated/Unknown,5.0,,
2012,Other Causes,M,Asian and Pacific Islander,56.0,10.4,12.0
2007,Other Causes,M,Hispanic,988.0,90.6,142.6
2007,Other Causes,F,White Non-Hispanic,1680.0,117.1,81.5
2014,Diabetes Mellitus,M,Not Stated/Unknown,8.0,,
2013,Other Causes,F,Hispanic,1082.0,86.7,94.0
2012,Other Causes,F,White Non-Hispanic,222.0,15.7,7.2
2010,Other Causes,F,Asian and Pacific Islander,238.0,42.3,51.6
2014,Malignant Neoplasms (Cancer),M,Not Stated/Unknown,73.0,,
2014,Other Causes,M,Asian and Pacific Islander,424.0,73.9,90.4
2013,Other Causes,M,Other Race/ Ethnicity,5.0,,
2012,Other Causes,F,Hispanic,60.0,4.8,5.2
2011,Diseases of Heart,F,Asian and Pacific Islander,402.0,70.5,86.1
2009,Diabetes Mellitus,F,Hispanic,215.0,18.0,22.2
2007,Assault (Homicide),M,Other Race/ Ethnicity,,,
2007,Other Causes,M,Not Stated/Unknown,13.0,,
2007,Other Causes,M,Black Non-Hispanic,137.0,16.1,22.7
2009,Cerebrovascular Disease (Stroke),M,Black Non-Hispanic,154.0,18.1,22.8
2014,Other Causes,M,White Non-Hispanic,399.0,29.7,24.0
2013,Diseases of Heart,F,Black Non-Hispanic,2365.0,226.4,187.3
2007,Other Causes,F,Hispanic,190.0,16.3,22.3
2012,Other Causes,F,Black Non-Hispanic,1483.0,141.9,127.3
2014,Other Causes,M,Other Race/ Ethnicity,12.0,,
2008,Other Causes,F,Hispanic,156.0,13.2,16.8
2009,Other Causes,F,Black Non-Hispanic,188.0,18.0,16.4
2012,Chronic Liver Disease and Cirrhosis,M,Hispanic,143.0,12.2,15.0
2014,Other Causes,F,White Non-Hispanic,2578.0,181.9,110.7
2012,Other Causes,M,Hispanic,205.0,17.5,31.5
2014,Cerebrovascular Disease (Stroke),M,Hispanic,165.0,13.8,20.4
2014,Malignant Neoplasms (Cancer),F,Asian and Pacific Islander,502.0,80.2,80.6
2009,Other Causes,M,Black Non-Hispanic,207.0,24.4,33.3
2014,Cerebrovascular Disease (Stroke),M,Asian and Pacific Islander,91.0,15.9,19.3
2007,Chronic Liver Disease and Cirrhosis,F,Not Stated/Unknown,,,
2008,Other Causes,M,Other Race/ Ethnicity,8.0,,
2007,Essential Hypertension and Renal Diseases,M,Asian and Pacific Islander,25.0,5.2,8.3
2007,Intentional Self-Harm (Suicide),M,White Non-Hispanic,187.0,14.0,12.7
2011,Other Causes,F,Asian and Pacific Islander,83.0,14.5,17.8
2014,Other Causes,F,Black Non-Hispanic,266.0,25.3,20.6
2009,Other Causes,M,Asian and Pacific Islander,51.0,10.0,16.9
2011,Other Causes,M,Asian and Pacific Islander,73.0,13.8,22.0
2014,Malignant Neoplasms (Cancer),M,White Non-Hispanic,3142.0,234.0,195.1
2008,Other Causes,M,Hispanic,1069.0,96.7,139.5
2008,Other Causes,M,Hispanic,132.0,11.9,22.8
2013,Other Causes,M,Hispanic,142.0,12.0,20.0
2011,Other Causes,M,Asian and Pacific Islander,340.0,64.3,85.1
2013,Diabetes Mellitus,F,Not Stated/Unknown,15.0,,
2011,Other Causes,F,Hispanic,90.0,7.3,9.1
2010,Other Causes,F,Other Race/ Ethnicity,27.0,,
2012,Diseases of Heart,M,Asian and Pacific Islander,469.0,86.8,116.9
2014,Intentional Self-Harm (Suicide),M,White Non-Hispanic,204.0,15.2,13.4
2014,Diseases of Heart,M,White Non-Hispanic,3990.0,297.1,238.4
2008,Other Causes,F,Not Stated/Unknown,5.0,,
2014,Cerebrovascular Disease (Stroke),M,Black Non-Hispanic,197.0,22.8,26.4
2011,HIV (Human Immunodeficiency Virus Disease),M,Black Non-Hispanic,277.0,32.5,31.8
2012,Malignant Neoplasms (Cancer),F,Black Non-Hispanic,1912.0,182.9,159.1
2011,Other Causes,M,Not Stated/Unknown,38.0,,
2011,Malignant Neoplasms (Cancer),F,Black Non-Hispanic,1918.0,183.2,163.3
2013,Other Causes,F,Black Non-Hispanic,285.0,27.3,22.5
2009,Other Causes,M,Other Race/ Ethnicity,,,
2007,Other Causes,F,White Non-Hispanic,107.0,7.5,3.5
2010,Other Causes,M,Asian and Pacific Islander,54.0,10.4,13.7
2010,Other Causes,M,Hispanic,132.0,11.6,13.9
2007,Other Causes,F,Not Stated/Unknown,,,
2014,HIV (Human Immunodeficiency Virus Disease),M,Hispanic,92.0,7.7,8.7
2007,Diabetes Mellitus,F,Not Stated/Unknown,,,
2013,Diabetes Mellitus,F,Black Non-Hispanic,410.0,39.3,33.1
2008,Other Causes,F,White Non-Hispanic,151.0,10.5,5.1
2009,Essential Hypertension and Renal Diseases,M,Other Race/ Ethnicity,,,
2009,Malignant Neoplasms (Cancer),F,Hispanic,1097.0,91.6,107.2
2007,Other Causes,M,Asian and Pacific Islander,221.0,45.7,61.2
2013,Mental and Behavioral Disorders,F,Not Stated/Unknown,6.0,,
2013,Other Causes,M,Not Stated/Unknown,139.0,,
2009,Other Causes,F,Hispanic,56.0,4.7,6.2
2008,Malignant Neoplasms (Cancer),F,White Non-Hispanic,3366.0,234.5,160.5
2014,Intentional Self-Harm (Suicide),M,Asian and Pacific Islander,50.0,8.7,8.7
2010,Other Causes,F,White Non-Hispanic,2140.0,149.7,93.9
2011,Other Causes,M,Hispanic,1207.0,104.7,151.1
2011,Diseases of Heart,M,Not Stated/Unknown,62.0,,
2008,Other Causes,M,Not Stated/Unknown,6.0,,
2009,Essential Hypertension and Renal Diseases,M,White Non-Hispanic,148.0,11.0,9.1
2007,Mental and Behavioral Disorders,M,White Non-Hispanic,261.0,19.5,17.6
2010,Other Causes,M,White Non-Hispanic,388.0,28.9,24.2
2009,Cerebrovascular Disease (Stroke),M,Hispanic,143.0,12.7,21.1
2014,HIV (Human Immunodeficiency Virus Disease),M,Black Non-Hispanic,196.0,22.7,21.7
2009,Diabetes Mellitus,M,Hispanic,172.0,15.3,25.4
2007,Malignant Neoplasms (Cancer),M,Not Stated/Unknown,45.0,,
2010,Other Causes,M,Asian and Pacific Islander,61.0,11.7,17.8
2007,Chronic Liver Disease and Cirrhosis,M,Asian and Pacific Islander,18.0,3.7,3.6
2014,Other Causes,M,Hispanic,176.0,14.7,16.9
2011,Other Causes,F,Not Stated/Unknown,14.0,,
2013,Other Causes,F,Not Stated/Unknown,9.0,,
2010,Malignant Neoplasms (Cancer),M,Asian and Pacific Islander,526.0,101.0,124.5
2014,Other Causes,M,Not Stated/Unknown,14.0,,
2012,Cerebrovascular Disease (Stroke),M,Other Race/ Ethnicity,7.0,,
2010,Diseases of Heart,F,Black Non-Hispanic,2282.0,217.7,194.2
2010,Other Causes,F,Hispanic,71.0,5.8,7.5
2010,Other Causes,M,Other Race/ Ethnicity,6.0,,
2011,Cerebrovascular Disease (Stroke),F,Hispanic,179.0,14.6,17.3
2013,Mental and Behavioral Disorders,M,White Non-Hispanic,286.0,21.2,19.5
2012,Cerebrovascular Disease (Stroke),M,Asian and Pacific Islander,70.0,13.0,17.5
2010,Other Causes,F,Not Stated/Unknown,,,
2007,Malignant Neoplasms (Cancer),M,Hispanic,1013.0,92.9,163.5
2013,Intentional Self-Harm (Suicide),M,Asian and Pacific Islander,41.0,7.4,7.2
2014,Diabetes Mellitus,F,Hispanic,209.0,16.5,17.9
2011,Intentional Self-Harm (Suicide),M,Other Race/ Ethnicity,5.0,,
2012,Septicemia,M,Other Race/ Ethnicity,6.0,,
2012,Septicemia,F,Other Race/ Ethnicity,,,
2008,Diabetes Mellitus,F,Asian and Pacific Islander,47.0,8.8,11.3
2014,Cerebrovascular Disease (Stroke),M,Not Stated/Unknown,8.0,,
2008,Mental and Behavioral Disorders,M,Hispanic,172.0,15.6,16.3
2013,Diseases of Heart,M,Asian and Pacific Islander,531.0,95.8,123.7
2010,Other Causes,M,Not Stated/Unknown,,,
2011,Other Causes,F,Asian and Pacific Islander,30.0,5.3,6.6
2007,Diseases of Heart,F,White Non-Hispanic,7050.0,491.4,250.7
2013,Malignant Neoplasms (Cancer),F,White Non-Hispanic,3187.0,224.2,153.3
2007,Other Causes,M,Hispanic,189.0,17.3,36.7
2009,Other Causes,M,Hispanic,111.0,9.9,18.3
2008,Other Causes,F,Other Race/ Ethnicity,19.0,,
2010,Other Causes,F,Not Stated/Unknown,18.0,,
2011,Other Causes,M,White Non-Hispanic,444.0,33.3,27.8
2012,Cerebrovascular Disease (Stroke),M,Not Stated/Unknown,10.0,,
2014,Nephritis and Related Diseases,M,Asian and Pacific Islander,28.0,4.9,5.8
2010,Other Causes,F,Not Stated/Unknown,5.0,,
2008,Essential Hypertension and Renal Diseases,F,Hispanic,104.0,8.8,11.4
2007,Septicemia,F,Black Non-Hispanic,89.0,8.5,8.1
2007,Other Causes,F,Not Stated/Unknown,,,
2007,Atherosclerosis,F,Other Race/ Ethnicity,,,
2013,Other Causes,M,Hispanic,1193.0,101.0,146.4
2014,Other Causes,F,Hispanic,142.0,11.2,12.5
2010,Other Causes,M,Asian and Pacific Islander,308.0,59.2,77.2
2008,Other Causes,M,Asian and Pacific Islander,90.0,18.1,30.2
2009,Other Causes,M,Hispanic,170.0,15.1,17.9
2011,Malignant Neoplasms (Cancer),F,Not Stated/Unknown,11.0,,
2011,Other Causes,M,Other Race/ Ethnicity,10.0,,
2008,Intentional Self-Harm (Suicide),F,Not Stated/Unknown,,,
2010,Other Causes,M,Hispanic,235.0,20.6,38.9
2007,Malignant Neoplasms (Cancer),F,Black Non-Hispanic,1800.0,171.0,161.7
2014,Congenital Malformations,F,Other Race/ Ethnicity,,,
2007,Essential Hypertension and Renal Diseases,F,Black Non-Hispanic,166.0,15.8,15.0
2011,Malignant Neoplasms (Cancer),M,Hispanic,1144.0,99.2,157.7
2012,Intentional Self-Harm (Suicide),M,Not Stated/Unknown,8.0,,
2013,Chronic Liver Disease and Cirrhosis,M,Not Stated/Unknown,16.0,,
2007,Other Causes,F,Not Stated/Unknown,6.0,,
2007,Other Causes,M,Hispanic,154.0,14.1,17.4
2011,Malignant Neoplasms (Cancer),M,Asian and Pacific Islander,550.0,104.1,130.4
2011,HIV (Human Immunodeficiency Virus Disease),F,Not Stated/Unknown,,,
2007,Mental and Behavioral Disorders,F,Black Non-Hispanic,87.0,8.3,7.4
2008,Diseases of Heart,M,Other Race/ Ethnicity,39.0,,
2008,Other Causes,M,Not Stated/Unknown,11.0,,
2008,Other Causes,F,White Non-Hispanic,1706.0,118.9,78.6
2009,Other Causes,M,Asian and Pacific Islander,84.0,16.5,26.1
2012,Malignant Neoplasms (Cancer),F,Not Stated/Unknown,36.0,,
2014,Other Causes,F,Hispanic,1135.0,89.6,96.0
2009,Other Causes,F,White Non-Hispanic,1684.0,117.2,77.2
2008,Essential Hypertension and Renal Diseases,M,Other Race/ Ethnicity,,,
2013,Diabetes Mellitus,M,Asian and Pacific Islander,96.0,17.3,21.1
2008,Other Causes,F,Not Stated/Unknown,,,
2009,Malignant Neoplasms (Cancer),M,Hispanic,1180.0,105.1,172.2
2010,Intentional Self-Harm (Suicide),M,White Non-Hispanic,182.0,13.6,12.3
2013,Essential Hypertension and Renal Diseases,F,Asian and Pacific Islander,50.0,8.3,9.3
2011,Essential Hypertension and Renal Diseases,F,Asian and Pacific Islander,46.0,8.1,10.2
2014,Diabetes Mellitus,M,Asian and Pacific Islander,71.0,12.4,14.2
2007,Mental and Behavioral Disorders,M,Not Stated/Unknown,10.0,,
2011,Cerebrovascular Disease (Stroke),F,White Non-Hispanic,466.0,32.9,17.6
2008,Other Causes,M,Hispanic,186.0,16.8,20.6
2013,Malignant Neoplasms (Cancer),F,Other Race/ Ethnicity,43.0,,
2009,Diabetes Mellitus,F,Other Race/ Ethnicity,,,
2012,Other Causes,F,Other Race/ Ethnicity,6.0,,
2011,Intentional Self-Harm (Suicide),M,Asian and Pacific Islander,49.0,9.3,9.4
2008,HIV (Human Immunodeficiency Virus Disease),M,Not Stated/Unknown,9.0,,
2012,Diseases of Heart,M,White Non-Hispanic,4156.0,310.3,252.4
2011,Intentional Self-Harm (Suicide),F,Asian and Pacific Islander,21.0,3.7,3.7
2008,Mental and Behavioral Disorders,M,White Non-Hispanic,227.0,16.9,15.5
2008,Diseases of Heart,F,Asian and Pacific Islander,456.0,85.6,117.7
2007,Chronic Liver Disease and Cirrhosis,M,Other Race/ Ethnicity,,,
